RW_Turbidity,pH,Conductivity,PAC
18.6,7.1,37.3,8
7.2,7,38.4,6
9.85,6.9,66.8,4
140,6.4,26.7,10
7.32,6.4,63.2,9
7.35,6.8,67.3,8
6.7,6.8,47.2,6
9.4,6.8,65.8,6
6.95,6.7,64.8,5
7.2,6.7,61.2,5
6.2,6.6,62.3,5
6.8,6.9,67.2,5
5.78,6.8,65,5
3.59,6.8,65.9,5
3.68,6.7,68.6,5
5.6,6.7,69.5,5
3.1,6.4,64.3,5
2.09,6.8,77.1,5
3.55,6.8,67.9,4
5,,,4
5.3,6.8,67.4,4
2.75,6.6,70.9,4
4.2,6.7,70.1,4
5.63,6.7,73.1,4
,,,
15.68,6.7,62.7,5
41.1,6.7,43.3,6
201,6.6,64.2,10
12.6,6.5,63.9,4
10.2,6.8,64.2,6
7.7,6.8,57,5
8.7,6.8,62.8,5
6.9,6.6,63,4
5.8,6.8,53.2,4
6.43,6.8,63.7,4
10.4,6.9,70.6,6
25.2,7.23,74.3,5
54.1,6.3,66.9,8
22.1,6.86,64.7,6
20.6,7,60.1,6
112.6,7.3,56.5,6
14.2,6.8,58.4,6
22.2,6.8,141.1,6
15.6,7.2,62.9,5
117,7.3,117.7,6
38,7.4,57,6
22.8,8.05,56.1,5
7.2,7.21,57.3,5
8.8,7.2,62.1,6
16.5,7.2,62.5,6
13.46,6.83,63.1,4
109,7.1,62,10
97,7.3,59.1,
,,,
67.3,6.59,61.5,8
16.4,7.2,60.3,6
28,7,62.1,
147,7.2,32.1,6
95,7.07,25.5,7
13.2,7.2,32.1,7
28,7.2,32,7
18.1,7.07,32.1,6
10.3,7.1,32.2,6
11.3,7.2,29.2,5
7.55,7.3,33.1,5
42.1,7.3,33.2,10
91,7.3,34,8
13.3,7.2,34.4,8
7.32,7.3,39.5,6
6.6,7.2,42.1,6
5.7,7.2,42.4,6
7.1,7.3,34.4,5
6.3,7.3,36,5
5.93,7.3,39.1,5
5.7,7.3,31.2,5
4.21,7.21,33.2,5
3.3,7.3,34.4,5
12.5,7.32,40,5
40.2,7.3,36.4,10
5.8,7.2,34.3,5
5.58,7.29,38.3,4
4.6,7.21,41.3,4
,,,
4.21,6.99,42.5,4
7.2,7.2,44.7,4
7.1,5.2,43.3,4
7.3,8.4,40.2,4
38,7,34,5
8.56,7.67,38.4,5
7.1,7.2,36,4
7.48,7.1,42.1,4
5.7,7.3,34.4,4
4.6,7.3,41.6,4
5.7,7.3,34.4,4
6.5,7.2,39.9,4
6.2,7.2,35.8,4
